1549554784,30.87,12.79,0, 0, 0, 0, 0, 0
1549554842,30.39,12.97,609, 147, 12, 2, 0, 0
1549554900,30.15,13.19,609, 147, 12, 2, 0, 0
1549554959,30.16,13.16,405, 105, 2, 0, 0, 0
1549555017,30.32,13.07,405, 105, 2, 0, 0, 0
1549555076,30.50,12.83,576, 155, 12, 2, 0, 0
1549555134,30.69,12.63,576, 155, 12, 2, 0, 0
1549555192,30.85,12.44,513, 141, 29, 2, 2, 0
1549555251,31.02,12.30,513, 141, 29, 2, 2, 0
1549555309,31.18,12.15,630, 177, 20, 4, 0, 0
1549555368,31.29,12.02,630, 177, 20, 4, 0, 0
1549555426,31.38,11.90,429, 130, 24, 2, 0, 0
1549555484,31.46,11.81,429, 130, 24, 2, 0, 0
1549555543,31.55,11.77,555, 156, 20, 6, 0, 0
1549555601,31.60,11.69,555, 156, 20, 6, 0, 0
1549555660,31.66,11.64,492, 140, 24, 0, 0, 0
1549555718,31.69,11.60,492, 140, 24, 0, 0, 0
1549555777,31.73,11.56,531, 149, 20, 2, 2, 2
1549555835,31.75,11.54,531, 149, 20, 2, 2, 2
1549555894,31.80,11.52,411, 124, 24, 4, 0, 0
1549555952,31.82,11.51,411, 124, 24, 4, 0, 0
1549556011,31.82,11.48,474, 116, 10, 2, 0, 0
1549556069,31.83,11.46,474, 116, 10, 2, 0, 0
1549556127,31.86,11.42,495, 152, 22, 0, 0, 0
1549556186,31.85,11.39,495, 152, 22, 0, 0, 0
1549556244,31.86,11.40,336, 94, 8, 0, 0, 0
1549556303,31.85,11.39,336, 94, 8, 0, 0, 0
1549556361,31.86,11.40,429, 119, 8, 0, 0, 0
1549556419,31.84,11.38,429, 119, 8, 0, 0, 0
1549556478,31.84,11.37,525, 151, 16, 2, 0, 0
1549556536,31.85,11.36,525, 151, 16, 2, 0, 0
1549556595,31.85,11.36,486, 128, 12, 2, 2, 0
1549556653,31.85,11.34,486, 128, 12, 2, 2, 0
1549556712,31.84,11.35,594, 164, 14, 0, 0, 0
1549556770,31.86,11.31,594, 164, 14, 0, 0, 0
1549556829,31.89,11.29,489, 122, 10, 0, 0, 0
1549556887,31.88,11.31,489, 122, 10, 0, 0, 0
1549556946,31.89,11.28,519, 148, 14, 0, 0, 0
1549557004,31.90,11.28,519, 148, 14, 0, 0, 0
1549557062,31.89,11.27,372, 106, 18, 0, 0, 0
1549557121,31.89,11.27,372, 106, 18, 0, 0, 0
1549557179,31.88,11.28,438, 129, 21, 0, 0, 0
1549557238,31.87,11.28,438, 129, 21, 0, 0, 0
1549557296,31.85,11.29,603, 158, 14, 2, 2, 0
1549557354,31.85,11.31,603, 158, 14, 2, 2, 0
1549557414,31.83,11.30,597, 159, 12, 2, 0, 0
1549557472,31.82,11.33,591, 159, 14, 2, 0, 0
1549557531,31.81,11.32,534, 145, 14, 0, 0, 0
1549557589,31.80,11.33,555, 150, 14, 0, 0, 0
1549557648,31.78,11.34,567, 151, 31, 0, 0, 0
1549557706,31.79,11.34,600, 168, 33, 0, 0, 0
1549557765,31.75,11.35,510, 132, 21, 0, 0, 0
1549557823,31.74,11.35,525, 137, 21, 0, 0, 0
1549557881,31.73,11.36,417, 122, 10, 4, 0, 0
1549557940,31.73,11.36,396, 113, 8, 2, 0, 0
1549557998,31.73,11.37,498, 139, 22, 0, 0, 0
1549558056,31.73,11.37,519, 144, 26, 0, 0, 0
1549558115,31.70,11.38,597, 162, 23, 2, 0, 0
1549558173,31.69,11.39,624, 166, 25, 2, 0, 0
1549558232,31.68,11.40,546, 151, 22, 0, 0, 0
1549558290,31.68,11.39,546, 160, 24, 0, 0, 0
1549558349,31.68,11.40,618, 180, 38, 0, 0, 0
